id,exercise_name,muscle_group,equipment
824,Chin-Up (Mixed Grip),Back,Pullup Bar
825,Dumbbell Posterior Fly on Stability Ball,Shoulders,Dumbbell
826,EZ Bar French Press (Reverse Grip),Triceps,EZ Curl Bar
827,Kettlebell Push Press,Shoulders,Kettlebell
828,Smith Machine Squat to Bench,Upper Legs,Strength Machine
829,Cable Rotation (Stability Ball),Abs,Strength Machine
830,Dumbbell Squat to Shoulder Press,Upper Legs,Dumbbell
831,Rolling,Abs,Body Weight
832,Knee Circles,Lower Legs,Body Weight
833,Posterior Tibialis Stretch,Lower Legs,Bands
834,Dumbbell One-Arm Fly,Chest,Dumbbell
835,Front to Back Leg Swings,Upper Legs,Body Weight
836,Barbell Incline Bench Press (Reverse Grip),Chest,Barbell
837,Dumbbell Incline One-Arm Press,Chest,Dumbbell
838,Barbell High Front Raise,Shoulders,Barbell
839,Cross Leg Erector Spinae,Abs,Body Weight
840,Cable Incline Tricep Extension,Triceps,Strength Machine
841,Decline Bench Knee Raise,Abs,Bench
842,Dumbbell One-Arm Row (Reverse Grip),Back,Dumbbell
843,Dumbbell Bicep Curl (Supine Wide Grip),Biceps,Dumbbell
844,Leg Slide,Abs,Body Weight
845,Dumbbell Seated Bent-Over Tricep Extension,Triceps,Dumbbell
846,Side to Side Leg Swings,Upper Legs,Body Weight
847,Dumbbell Shoulder Press (Reverse Grip),Shoulders,Dumbbell
848,Dumbbell Pullover (Stability Ball),Chest,Dumbbell
849,Dumbbell Shrug (Stability Ball),Back,Dumbbell
850,Cable Rope Incline Row,Back,Strength Machine
851,Isometric Chest Press,Chest,Body Weight
852,Knee Across the Body,Glutes,Body Weight
853,Kettlebell Turkish Get-Up Squat,Shoulders,Kettlebell
854,Kettlebell Arnold Press,Shoulders,Kettlebell
855,Band Hamstring Stretch,Upper Legs,Bands
856,Dumbbell One-Arm Reverse Bench Wrist Curl,Forearms,Dumbbell
857,Cable Decline One-Arm Chest Fly,Chest,Strength Machine
858,Barbell Pullover and Press,Chest,Barbell
859,Stability Ball Bridge,Abs,Exercise Ball
860,Inchworm Push-Up,Abs,Body Weight
861,Smith Machine Bench Press (Reverse Grip),Chest,Strength Machine
862,Dumbbell Reverse Concentration Curl,Forearms,Dumbbell
863,Trap Bar Overhead Press,Shoulders,
864,Barbell Power Snatch,Upper Legs,Barbell
865,Modified Push-Up to Forearms,Forearms,Body Weight
866,Medicine Ball Rotation,Abs,
867,Box Side to Side Shuffle,Upper Legs,
868,Dumbbell Hammer Curl to Press,Shoulders,Dumbbell
869,Barbell Jerk,Shoulders,Barbell
870,Barbell Incline Row (Reverse Grip),Back,Barbell
871,Smith Machine Incline Bench Press (Reverse Grip),Chest,Strength Machine
872,Dumbbell Seated Side Bend,Abs,Dumbbell
873,Cable Reverse Preacher Curl,Forearms,Strength Machine
874,Cable Upright Row (Supine),Shoulders,Strength Machine
875,Side-Lying Hip Flexor,Upper Legs,Body Weight
876,Cable Kneeling Tricep Extension,Triceps,Strength Machine
877,Roll Down,Abs,Body Weight
878,Single-Leg Reverse Hyper (Flat Bench),Abs,Bench
879,Smith Machine Incline Tricep Extension,Triceps,Strength Machine
880,EZ Bar Decline Tricep Extension,Triceps,EZ Curl Bar
881,Barbell Rear Delt Row to Neck,Shoulders,Barbell
882,Kettlebell Hang Clean,Upper Legs,Kettlebell
883,Dumbbell One-Arm Bent-Over Reverse Fly,Shoulders,Dumbbell
884,Knee Tuck Jump,Upper Legs,Body Weight
885,Stability Ball Incline Ab Crunch,Abs,Exercise Ball
886,Weight Plate One-Arm Shrug,Back,Weight Plate
887,Dumbbell Seated Alternating Reverse Fly,Shoulders,Dumbbell
888,Single-Leg Donkey Calf Raise,Lower Legs,Bench
889,Bent Knee Hundreds,Abs,Body Weight
890,Dumbbell One-Arm Pullover (Stability Ball),Chest,Dumbbell
891,Quadricep Stretch,Upper Legs,Bench
892,Dumbbell Wall Squat Hold,Upper Legs,Dumbbell
893,Barbell Stiff-Leg Deadlift (Bench),Back,Barbell
894,Dumbbell One-Arm Press (Palms In),Shoulders,Dumbbell
895,Cable Seated Shrug,Back,Strength Machine
896,Barbell Neck Press,Chest,Barbell
897,Push-up to Renegade Row,Chest,Dumbbell
898,Standing Hamstring and Calf Stretch,Upper Legs,Bands
899,Dumbbell Shoulder Press (Stability Ball),Shoulders,Dumbbell
900,Three Bench Dip,Triceps,Bench
901,Bear Crawls,Upper Legs,Body Weight
902,Smith Machine Behind the Back Wrist Curl,Forearms,Strength Machine
903,Dumbbell One-Arm Seated Hammer Curl,Biceps,Dumbbell
904,Cable Lying Crunch,Abs,Strength Machine
905,Stability Ball Hand and Foot Exchange,Abs,Exercise Ball
906,Cable High Curl (Supine),Biceps,Strength Machine
907,Dumbbell Alternating Press (Palms In),Shoulders,Dumbbell
908,Side Plank Hip Abduction,Abs,Body Weight
909,Barbell Clean Pull,Upper Legs,Barbell
910,Cable Single-Leg Calf Raise,Lower Legs,Strength Machine
911,Cable Decline Pullover,Shoulders,Strength Machine
912,Bow Pose,Abs,Body Weight
913,Barbell Snatch Pull,Upper Legs,Barbell
914,Dumbbell Incline One Arm Hammer Press,Chest,Dumbbell
915,Stability Ball V-Up,Abs,Exercise Ball
916,Seated Glute Stretch,Glutes,Body Weight
917,Stability Ball Tricep Extension,Triceps,Dumbbell
918,Band Calf Raise,Lower Legs,Bands
919,Weighted Three Bench Dip,Triceps,Weight Plate
920,Dumbbell One-Arm Arnold Press,Shoulders,Dumbbell
921,Scalene Stretch,,Body Weight
922,Stability Ball Medicine Ball Sit-Up,Abs,Exercise Ball
923,Barbell One-Arm Floor Press,Chest,Barbell
924,Long Jump,Upper Legs,Body Weight
925,Stability Ball Oblique Curl,Abs,Exercise Ball
926,Dumbbell Pronation (Side-Lying),Forearms,Dumbbell
927,Cable Rope Tricep Extension (Supine),Triceps,Strength Machine
928,Barbell One-Arm Side Deadlift,Upper Legs,Barbell
929,Bench Rotational Crunch,Abs,Bench
930,Forward Lunge with Rotation,Upper Legs,Body Weight
931,Barbell Speed Squat,Upper Legs,Barbell
932,Barbell Supine Reverse Extension,Triceps,Barbell
933,Reach and Catch,Abs,Body Weight
934,Kettlebell One-Arm Overhead Squat,Upper Legs,Kettlebell
935,Bench Jackknife Sit-Up,Abs,Bench
936,Dumbbell One-Arm Wrist Curl Over Bench (Neutral),Forearms,Dumbbell
937,Dumbbell Supination (Side-Lying),Forearms,Dumbbell
938,Barbell Decline Bench Press (Reverse Grip),Chest,Barbell
939,Barbell Side Bend,Abs,Barbell
940,Barbell Alternating Front and Back Press,Shoulders,Barbell
941,Cable One-Arm Fly (Stability Ball),Chest,Strength Machine
942,Sun Salutation,Abs,Body Weight
943,Plyo Box Step-Ups,Upper Legs,
944,Dumbbell Seated Bent-Over One-Arm Tricep Extension,Triceps,Dumbbell
945,Cable Knee Raise (Supine),Abs,Strength Machine
946,Dumbbell One-Arm Reverse Fly,Shoulders,Dumbbell
947,Kettlebell Clean,Shoulders,Kettlebell
948,Soleus and Achilles Stretch,Lower Legs,Body Weight
949,Hack Single-Leg Calf Raise,Lower Legs,Strength Machine
950,Rocky Pull-Up (Hammer Grip),Back,Pullup Bar
951,Dumbbell One-Arm Lateral Raise (Prone),Shoulders,Dumbbell
952,Barbell Pin Press,Triceps,Barbell
953,Alternating Reverse Hyper (Flat Bench),Abs,Bench
954,Dumbbell French Press (Stability Ball),Triceps,Exercise Ball
955,Kettlebell Hang Clean,Forearms,Kettlebell
956,Deadlift to Bicep Curl,Back,Barbell
957,Cable Single-Leg Knee Raise,Abs,Strength Machine
958,Cable Low Tricep Extension (Supine),Triceps,Strength Machine
959,Barbell Rack Delivery,Shoulders,Barbell
960,Dumbbell Incline Press on Stability Ball,Chest,Dumbbell
961,Towel Tricep Extension,Triceps,Other
962,Barbell Shoulder Pull (Prone),Shoulders,Barbell
963,Dumbbell One-Arm Decline Chest Press,Chest,Dumbbell
964,Warrior Pose,Abs,Body Weight
965,Dumbbell Alternating Reverse Fly,Shoulders,Dumbbell
966,One-Arm Wall Stretch,Back,Body Weight
967,Stability Ball Back Stretch,Back,Exercise Ball
968,Dumbbell Stiff-Leg Deadlift on Bench,Back,Dumbbell
969,Stability Ball Roman Twist,Abs,Exercise Ball
970,Dumbbell Reverse Spider Curl,Biceps,Dumbbell
971,Barbell Jefferson Squat,Upper Legs,Barbell
972,Spiderman Lunge,Upper Legs,Body Weight
973,Stability Ball Weight Plate Pullover,Triceps,Exercise Ball
974,Stability Ball Side Crunch,Abs,Exercise Ball
975,Dumbbell One-Arm Reverse Preacher Curl,Forearms,Dumbbell
976,Locust Pose,Abs,Body Weight
977,Side Plank Crunch,Abs,Body Weight
978,Stability Ball Cable Fly,Chest,Strength Machine
979,Dumbbell Squat Curl to Shoulder Press,Upper Legs,Dumbbell
980,Single-Leg Butt Kick,Upper Legs,Body Weight
981,Box Single-Leg Push-Off,Upper Legs,
982,Warrior 2 Pose,Abs,Body Weight
983,Dumbbell One-Arm Bent-Over Reverse Fly,Shoulders,Dumbbell
984,Smith Machine Incline Shoulder Raise,Shoulders,Strength Machine
985,Kettlebell Floor Press,Chest,Kettlebell
986,Kettlebell Bent Press,Abs,Kettlebell
987,Kettlebell Alternating Press,Shoulders,Kettlebell
988,Side-Lying Thoracic Rotation,Back,Body Weight
989,Table Pose,Abs,Body Weight
990,Barbell Hang Snatch,Upper Legs,Barbell
991,Cable Judo Flip,Abs,Strength Machine
992,Dumbbell Shoulder Raise (Stability Ball),Shoulders,Dumbbell
993,Dumbbell One-Arm French Press (Stability Ball),Triceps,Dumbbell
994,Drop Push-Up,Chest,Bench
995,Barbell Decline Bench Lunge,Upper Legs,Barbell
996,Barbell Round the World Shoulder Stretch,Shoulders,Barbell
997,Barbell One-Arm Row,Back,Barbell
998,Medicine Ball Overhead Throw,Shoulders,
999,Kneeling Thoracic Mobility,Back,Body Weight
1000,Smith Machine Reverse Bench Press (Close Grip),Triceps,Strength Machine
1001,Kettlebell Seated Press,Shoulders,Kettlebell
1002,High Knee Skip,Upper Legs,Body Weight
1003,Trap Bar Farmer’s Walk,Upper Legs,
1004,Barbell Alternating Press,Shoulders,Barbell
1005,Dumbbell Bicep Curl Step-Up,Biceps,Dumbbell
1006,Hero Pose,Abs,Body Weight
1007,Kneeling Back Stretch,Upper Legs,Body Weight
1008,Barbell High Snatch,Upper Legs,Barbell
1009,Dumbbell One-Arm Hammer Shoulder Press,Shoulders,Dumbbell
1010,Smith Machine Front Squat,Upper Legs,Strength Machine
1011,Kettlebell One-Arm Para Press,Shoulders,Kettlebell
1012,Barbell Decline Pullover (Wide Grip),Chest,Barbell
1013,Smith Machine One-Arm Row,Back,Strength Machine
1014,Dumbbell Incline One-Arm Fly,Chest,Dumbbell
1015,Dumbbell One-Arm Press (Reverse Grip),Chest,Dumbbell
1016,Barbell Squat to Upright Row,Upper Legs,Barbell
1017,Smith Machine Single-Leg Calf Raise,Lower Legs,Strength Machine
1018,Double Leg Stretch,Abs,Body Weight
1019,Cable Rope Pull-Up,Back,Strength Machine
1020,Band Seated Calf Stretch,Lower Legs,Bands
1021,Bench Calf Stretch,Lower Legs,Bench
1022,Exercise Dome One-Arm Push-Up,Chest,
1023,Medicine Ball Two-Arm Overhead Throw,Abs,Other
1024,Kettlebell Snatch,Shoulders,Kettlebell
1025,Barbell Bicep Curl (Prone),Biceps,Barbell
1026,Dumbbell Lunge Tricep Extension,Triceps,Dumbbell
1027,Dumbbell Incline Hammer Press (Stability Ball),Chest,Dumbbell
1028,Downward Facing Puppy Dog,Abs,Body Weight
1029,Kettlebell Open Palm Clean,Upper Legs,Kettlebell
1030,Medicine Ball Catch and Throw,Back,Other
1031,Double-Leg Butt Kick,Upper Legs,Body Weight
1032,Thoracic Spine Extension (Foam Roller),Back,Body Weight
1033,Cable Rotational Crunch (Supine),Abs,Strength Machine
1034,Barbell Reverse Grip Tricep Extension,Triceps,Barbell
1035,Barbell One-Arm Bicep Curl,Biceps,Barbell
1036,Leg Slide (Supine),Abs,Body Weight
1037,Depth Jump Leap,Upper Legs,Body Weight
1038,Passive Opening Twist,Abs,Body Weight
1039,Stability Ball Jack Knife Push-Up,Abs,Exercise Ball
1040,Band Sit-Up,Abs,Bench
1041,Crow Pose,Abs,Body Weight
1042,Diagonal Plate Raise,Shoulders,Weight Plate
1043,Dumbbell Preacher Curl (Stability Ball),Biceps,Dumbbell
1044,High Knee Walk External Hip Rotation,Upper Legs,Body Weight
1045,Trap Bar Bent-over Rows,Back,
1046,Barbell Seated Front Raise,Shoulders,Barbell
1047,Side-Lying Quadricep Stretch,Upper Legs,Body Weight
1048,Barbell 1/4 Squat,Upper Legs,Barbell
1049,Decline Bench Alternating Leg Raise,Abs,Bench
1050,Cable One-Arm Preacher Curl (Reverse),Biceps,Strength Machine
1051,Dumbbell Seated One-Arm Arnold Press,Shoulders,Dumbbell
1052,Smith Machine Decline Bench Press (Reverse Grip),Chest,Strength Machine
1053,Band Calf Raise,Lower Legs,Bands
1054,Stability Ball Weighted Wall Squat,Upper Legs,Exercise Ball
1055,Child Pose Side Stretch,Back,Body Weight
1056,Bench Leg and Hip Stretch,Upper Legs,Bench
1057,Low Back Chair Stretch,Back,Bench
1058,Smith Machine Wrist Curl,Forearms,Strength Machine
1059,Stability Ball Calf Raise,Lower Legs,Exercise Ball
1060,Gorilla Chin-Up with Crunch,Back,Pullup Bar
1061,Cross-Legged Forward Fold,Abs,Body Weight
1062,Seated Wide Angle Pose,Upper Legs,Body Weight
1063,Incline Push-Up Depth Jump,Chest,Bench
1064,Single-Leg Stride Jump,Upper Legs,Body Weight
1065,Crescent Moon Pose,Abs,Body Weight
1066,Stability Ball Side Crunch,Abs,Exercise Ball
1067,Carioca,Upper Legs,Body Weight
1068,Alternating Arm Cobra,Abs,Body Weight
1069,Dumbbell Hammer Curl on Stability Ball,Biceps,Dumbbell
1070,Dumbbell Reverse Preacher Curl,Forearms,Strength Machine
1071,Stability Ball Neck Flexion,Shoulders,Exercise Ball
1072,Single-Leg Stance,Abs,Body Weight
1073,Straight Leg Sit-Up,Abs,Body Weight
1074,Half Kneeling Psoas Stretch,Back,Body Weight
1075,Heel Walking,Lower Legs,Body Weight
1076,Triangle Pose,Abs,Body Weight
1077,Cable Shrug (Supine),Back,Strength Machine
1078,Kettlebell Double Windmill,Abs,Kettlebell
1079,Dumbbell Rear Row (Stability Ball),Back,Dumbbell
1080,Medicine Ball Chest Throw (Supine),Triceps,
1081,Dumbbell Lateral Raise (Stability Ball),Shoulders,Dumbbell
1082,Barbell Split Jump,Upper Legs,Barbell
1083,Side Hop-Sprint,Upper Legs,Body Weight
1084,Assisted Chest Stretch,Chest,Body Weight
1085,Dumbbell Incline Fly (Stability Ball),Chest,Dumbbell
1086,Barbell Kneeling Jump Squat,Glutes,Barbell
1087,Dumbbell Alternating Hammer Curl (Stability Ball),Biceps,Dumbbell
1088,One-Knee to Chest (Supine),Abs,Body Weight
1089,Smith Machine Zercher Squat,Upper Legs,Strength Machine
1090,Camel Pose,Abs,Body Weight
1091,Dumbbell One-Arm Bicep Curl (Prone),Biceps,Dumbbell
1092,Warrior 3 Pose,Abs,Body Weight
1093,Side Wrist Pull,Shoulders,Body Weight
1094,Stability Ball Lat Stretch,Back,Exercise Ball
1095,Calf Stretch with Rope,Lower Legs,Bands
1096,Medicine Ball Chest Push,Chest,
1097,Decline Bench Alternating Knee Raise,Abs,Bench
1098,Dumbbell Shoulder Raise (Stability Ball),Shoulders,Dumbbell
1099,Stability Ball Weighted Hyperextension,Back,Exercise Ball
1100,Dumbbell Bicep Curl With Stork Stance,Biceps,Dumbbell
1101,Kettlebell Jerk,Shoulders,Kettlebell
1102,Cable Incline Fly (Stability Ball),Chest,Strength Machine
1103,Side Angle Pose With Rotation,Abs,Body Weight
1104,Cable Decline One-Arm Press,Chest,Strength Machine
1105,Dumbbell Decline One-Arm Hammer Press,Chest,Dumbbell
1106,Dumbbell Arnold Press (Stability Ball),Shoulders,Dumbbell
1107,Band Quad Stretch,Upper Legs,Bands
1108,Dumbbell Alternating Bicep Curl (Stability Ball),Biceps,Dumbbell
1109,Side-Lying Floor Stretch,Back,Body Weight
1110,Lateral High Knee Skip,Upper Legs,Body Weight
1111,Fish Pose,Abs,Body Weight
1112,Dumbbell Alternating Reverse Fly (Prone),Shoulders,Dumbbell
1113,Z Pose,Abs,Body Weight
1114,Seated Hamstring and Calf Stretch,Upper Legs,Bands
1115,Kettlebell One-Arm Floor Press,Chest,Kettlebell
1116,Inline Skating,Cardio,Other
1117,Alternating Diagonal Leg Bound,Upper Legs,Body Weight
1118,Dumbbell Decline Press (Stability Ball),Chest,Dumbbell
1119,Stability Ball Back Extension with Hands Behind Head,Back,Exercise Ball
1120,Decline Bench Cable Crunch,Abs,Strength Machine
1121,Leg Slide,Abs,Body Weight
1122,Double Leg Hundreds,Abs,Body Weight
1123,Stability Ball Neck Extension,Shoulders,Exercise Ball
1124,Dumbbell Seated One-Arm Front Raise,Shoulders,Dumbbell
1125,Box Jump with Single-Leg Stabilization,Lower Legs,
1126,Stability Ball Plank with Hip Abduction,Abs,Exercise Ball
1127,Stability Ball Ab Curl,Abs,Exercise Ball
1128,Dumbbell One-Arm Reverse Spider Curl,Biceps,Dumbbell
1129,Medicine Ball Decline Two-Arm Overhead Throw,Abs,
1130,Reverse Lunge with Rotation,Upper Legs,Body Weight
1131,Trap Bar Jump Squat,Upper Legs,
1132,Barbell Split Jerk,Upper Legs,Barbell
1133,Barbell Frankenstein Squat,Shoulders,Barbell
1134,Burpee Box Jump Overs,Upper Legs,
1135,Dumbbell One-Arm Reverse Fly,Shoulders,Dumbbell
1136,Kneeling Side Bend,Abs,Body Weight
1137,Stability Ball Chest Stretch,Chest,Exercise Ball
1138,Dumbbell One-Arm Hammer Curl (Prone),Biceps,Dumbbell
1139,Stability Ball Weight Plate Side Bend,Abs,Exercise Ball
1140,Stability Ball Narrow Push-Up,Chest,Exercise Ball
1141,Standing Opposition Reach,Abs,Body Weight
1142,Stability Ball Dip,Triceps,Exercise Ball
1143,Barbell Hang Clean Below the Knees,Upper Legs,Barbell
1144,Stability Ball Hip Extension,Back,Exercise Ball
1145,Stability Ball Roll Down,Abs,Exercise Ball
1146,Dumbbell One-Arm Front Raise,Shoulders,Dumbbell
1147,Stability Ball Wood Chop,Abs,Exercise Ball
1148,Dumbbell Alternating Row (Stability Ball),Back,Dumbbell
1149,Standing Pelvic Tilt,Back,Body Weight
1150,Medicine Ball Chest Pass,Chest,
1151,Dumbbell Tricep Kickback with Stork Stance,Triceps,Dumbbell
1152,Stability Ball Extended Arm Crunch,Abs,Exercise Ball
1153,Cable Dual Overhead Curl (Stability Ball),Biceps,Strength Machine
1154,Peroneal Stretch,Lower Legs,Bands
1155,Hare Pose,Abs,Body Weight
1156,Dumbbell Kneeling Bicep Curl (Stability Ball),Biceps,Dumbbell
1157,Stability Ball Walking Lunge,Abs,Exercise Ball
1158,Decline Bench Cable Knee Raise,Abs,Bench
1159,Barbell Seated High Front Raise,Shoulders,Barbell
1160,Dumbbell One-Arm Press (Stability Ball),Chest,Dumbbell
1161,Single-Leg Box Jump,Upper Legs,
1162,Dumbbell Decline One-Arm Fly,Chest,Dumbbell
1163,Walking Inchworm Push-Up,Abs,Body Weight
1164,Trap Bar Lunges,Upper Legs,
1165,Upper Body Chair Stretch,Shoulders,Bench
1166,Dumbbell One-Arm Fly (Stability Ball),Chest,Dumbbell
1167,Dumbbell Alternating Posterior Fly (Stability Ball),Shoulders,Dumbbell
1168,Cable One-Arm Press (Stability Ball),Chest,Strength Machine
1169,Sage Twist 1,Abs,Body Weight
1170,Standing Half Moon,Abs,Body Weight
1171,Dumbbell Kneeling Lateral Raise (Stability Ball),Shoulders,Dumbbell
1172,Stability Ball Cross-Leg Crunch,Abs,Exercise Ball
1173,Bent Knee Side Angle Pose,Abs,Body Weight
1174,Turtle Pose,Abs,Body Weight
1175,Barbell Power Jerk,Upper Legs,Barbell
1176,Stability Ball Reverse Crunch,Abs,Exercise Ball
1177,Stability Ball Side-Lying Neck Stretch,Abs,Exercise Ball
1178,Eagle Pose,Abs,Body Weight
1179,Dumbbell Alternating Bicep Curl (Stability Ball),Biceps,Dumbbell
1180,Stability Ball Dumbbell Kickback,Triceps,Dumbbell
1181,Kettlebell Alternating Hang Clean,Shoulders,Kettlebell
1182,Downward Facing Dog Single-Leg,Abs,Body Weight
1183,Cable One-Arm Incline Fly (Stability Ball),Chest,Strength Machine
1184,Stability Ball Balance,Chest,Exercise Ball
1185,Stability Ball Full Body Plank,Back,Exercise Ball
1186,Dumbbell Alternating Lateral Raise (Stability Ball),Shoulders,Dumbbell
1187,Dumbbell One-Arm Bicep Curl on Stability Ball,Biceps,Dumbbell
1188,One-Arm Chin-Up,Back,Pullup Bar
1189,Staff Pose,Abs,Body Weight
1190,Single-Leg Wall Squat,Upper Legs,Body Weight
1191,Half Locust,Upper Legs,Body Weight
1192,Dumbbell Lunge with Bicep Curl Bowling Motion,Biceps,Dumbbell
1193,Seated Trunk Rotation,Back,Exercise Ball
1194,Mighty Pose,Abs,Body Weight
1195,Bench Quad Stretch (Supine),Upper Legs,Bench
1196,Dumbbell Alternating Cobra (Stability Ball),Abs,Dumbbell
1197,Kneeling Warrior Lunge,Upper Legs,Body Weight
1198,Kettlebell One-Arm Palm Clean,Upper Legs,Kettlebell
1199,Dumbbell One-Arm Single-Leg Bicep Curl on Stability Ball,Biceps,Dumbbell
1200,Stability Ball Back Extension,Back,Exercise Ball
1201,Revolved Abdomen Pose,Abs,Body Weight
1202,Dumbbell Incline One-Arm Press (Stability Ball),Chest,Dumbbell
1203,Lateral Box Jump Overs,Upper Legs,
1204,Stability Ball Hip Rotation,Abs,Exercise Ball
1205,Dumbbell One-Arm Shoulder Press (Stability Ball),Shoulders,Dumbbell
1206,Depth Box Jumps,Upper Legs,
1207,Stability Ball Wall Circles,Back,Exercise Ball
1208,Dumbbell Alternating Shoulder Press (Stability Ball),Shoulders,Dumbbell
1209,Medicine Ball Throw (Stability Ball),Abs,
1210,Stability Ball Reverse Crunch,Abs,Exercise Ball
1211,Stability Ball Standing Hamstring Stretch,Upper Legs,Exercise Ball
1212,Medicine Ball Bicep Curl on Stability Ball,Biceps,Exercise Ball
1213,Stability Ball Hip Roll,Abs,Exercise Ball
1214,Reclining Big Toe Pose,Upper Legs,Body Weight
1215,Warrior High Lunge,Upper Legs,Body Weight
1216,Stability Ball Low Back Stretch,Back,Exercise Ball
1217,Dumbbell One-Arm Arnold Press (Stability Ball),Shoulders,Dumbbell
1218,Upward Facing Bow Pose,Abs,Body Weight
1219,Dumbbell Cobra (Stability Ball),Abs,Dumbbell
1220,Stability Ball Back Stretch,Back,Exercise Ball
1221,Barbell Snatch Balance,Upper Legs,Barbell
1222,Child's Pose (Stability Ball),Abs,Exercise Ball
1223,Dumbbell One-Arm Hammer Press (Stability Ball),Chest,Dumbbell
1224,Straight Leg Walk,Upper Legs,Body Weight
1225,Seated Box Jumps,Upper Legs,
1226,Stability Ball Straight-Leg Crunch,Abs,Exercise Ball
1227,Stability Ball Hamstring Contract Relax,Upper Legs,Exercise Ball
1228,Barbell Jerk Dip Squat,Upper Legs,Barbell
1229,Barbell One-Arm Snatch,Upper Legs,Barbell
1230,Stability Ball Rollover,Abs,Exercise Ball
1231,Dumbbell Bicep Curl on Dome,Biceps,Dumbbell
1232,Band Shoulder Press (Stability Ball),Shoulders,Bands
1233,Barbell Press on Stability Ball,Shoulders,Barbell
1234,Broad Jump to Box Jump,Upper Legs,
1235,Stability Ball Single-Leg Crunch,Abs,Exercise Ball
1236,Dumbbell Bicep Curl on Stability Ball,Biceps,Exercise Ball
1237,Cable Incline Press (Stability Ball),Chest,Strength Machine
1238,Stability Ball Hamstring Stretch,Upper Legs,Exercise Ball
1239,Dumbbell One-Arm Lateral Raise (Stability Ball),Shoulders,Dumbbell
1240,Stability Ball Back Extension with Knees Off Ground,Back,Exercise Ball
1241,Dumbbell Single-Leg Fly (Stability Ball,Chest,Dumbbell
1242,Stability Ball Hug,Back,Exercise Ball
1243,Dumbbell Alternating Arnold Press (Stability Ball),Shoulders,Exercise Ball
1244,Stability Ball Single-Leg Hip Rotation,Abs,Exercise Ball
1245,Barbell Clean From Blocks,Upper Legs,Barbell
1246,Seated Overhead Stretch,Abs,Body Weight
1247,Stability Ball One-Arm Bridge,Abs,Exercise Ball
1248,Walking Quadricep Stretch,Upper Legs,Body Weight
1249,Dumbbell Incline One-Arm Fly on Stability Ball,Chest,Dumbbell
1250,Stability Ball Hundreds,Abs,Exercise Ball
1251,Stability Ball Quadricep Stretch,Upper Legs,Exercise Ball
1252,Stability Ball Cross-Leg Bridge,Abs,Exercise Ball
1253,Dumbbell One-Arm Posterior Fly on Stability Ball,Shoulders,Dumbbell
1254,Kettlebell Jerk,Shoulders,Kettlebell
1255,Kettlebell One-Arm Split Jerk,Shoulders,Kettlebell
1256,Stability Ball Stork Stance,Abs,Exercise Ball
1257,Stability Ball Side Bend,Abs,Exercise Ball
1258,Depth Jumps,Upper Legs,
1259,Dumbbell Incline One-Arm Hammer Press (Stability Ball),Chest,Dumbbell
1260,Stability Ball Hamstring Stretch,Abs,Exercise Ball
1261,Kettlebell One-Arm Split Snatch,Shoulders,Kettlebell
1262,Stability Ball Shoulder Flexion,Back,Exercise Ball
1263,Weighted Box Jump,Upper Legs,
1264,Box Jump Tap Overs,Upper Legs,
1265,Dumbbell One-Arm Row (Stability Ball),Back,Dumbbell
1266,Stability Ball Hip Flexor Stretch,Upper Legs,Exercise Ball
1267,Push-Up to Box Jump,Upper Legs,
1268,Rotational Step-Up,Upper Legs,Bench
1269,Cable One-Arm Incline Press (Stability Ball),Chest,Strength Machine
1270,Kettlebell One-Arm Jerk,Shoulders,Kettlebell
1271,Kneeling Jump to Box Jump,Upper Legs,
1272,Barbell Squat Jerk,Upper Legs,Barbell
1273,Stability Ball Hamstring Stretch,Abs,Exercise Ball
1274,Stability Ball Single-Leg Bridge,Abs,Exercise Ball
1275,Medicine Ball Chest Push to Run,Chest,
1276,Barbell Power Snatch From Blocks,Upper Legs,Barbell
1277,Medicine Ball One-Arm Overhead Throw,Abs,Other
1278,Barbell Snatch from Blocks,Upper Legs,Barbell
1279,Stability Ball Tricep Stretch,Triceps,Exercise Ball
1280,Barbell Hang Snatch Below the Knees,Upper Legs,Barbell
1281,Stability Ball Lat Stretch,Back,Exercise Ball
1282,Stability Ball Back Extension with Rotation,Back,Exercise Ball
1283,Medicine Ball Decline One-Arm Overhead Throw,Abs,
1284,Barbell Split Clean,Upper Legs,Barbell
1285,Medicine Ball Chest Push from Stance,Chest,
1286,Depth Jump to Tuck Jump,Upper Legs,
1287,Stability Ball Head Tilt,Abs,Exercise Ball
1288,Staggered Stance Box Jump,Upper Legs,
1289,Stability Ball Side Stretch,Abs,Exercise Ball
1290,Medicine Ball Box Jump,Upper Legs,
1291,Stability Ball Back Stretch,Back,Exercise Ball
1292,Stability Ball Half Moon Stretch,Abs,Exercise Ball
