id,exercise_name,muscle_group,equipment
450,Wall Calf Stretch,Lower Legs,Body Weight
451,Dumbbell Bench Press (Reverse Grip),Chest,Dumbbell
452,Weighted Bench Dip,Triceps,Bench
453,Barbell Clean,Upper Legs,Barbell
454,Dumbbell Incline Fly With A Twist,Chest,Dumbbell
455,Cable Drag Curl,Biceps,Strength Machine
456,Jumping Jacks,Cardio,Body Weight
457,Barbell Preacher Curl (Overhand),Forearms,Barbell
458,Decline Bench Rotational Sit-Up,Abs,Bench
459,Band Lateral Raise,Shoulders,Bands
460,Dumbbell One-Arm Hammer Curl,Biceps,Dumbbell
461,Single-Leg Squat,Upper Legs,Body Weight
462,Weight Plate Neck Flexion (Supine),Shoulders,Weight Plate
463,Cable Behind the Back Wrist Curl,Forearms,Strength Machine
464,Barbell JM Press,Triceps,Barbell
465,Tuck Crunch,Abs,Body Weight
466,Stability Ball Trunk Rotation,Abs,Exercise Ball
467,Cable Oblique Crunch,Abs,Strength Machine
468,Kettlebell Row,Back,Kettlebell
469,Medicine Ball Overhead Slam,Abs,
470,Dumbbell Farmers Carry,Upper Legs,Dumbbell
471,Barbell Drag Curl,Biceps,Barbell
472,Machine Seated Single-Leg Calf Raise,Lower Legs,Strength Machine
473,Rear Pull-Up (Wide Grip),Back,Pullup Bar
474,Plyo Push-Up,Chest,Body Weight
475,Dumbbell Jump Squat,Upper Legs,Dumbbell
476,Barbell Rear Press,Shoulders,Barbell
477,Cable Deadlift,Back,Strength Machine
478,Dumbbell Incline Spider Curl,Biceps,Dumbbell
479,Machine Single-Leg Press,Upper Legs,Strength Machine
480,Barbell Push Press Behind the Neck,Shoulders,Barbell
481,Scorpion,Back,Body Weight
482,Band Alternating Bicep Curl,Biceps,Bands
483,Dumbbell Incline Row (Reverse Grip),Back,Dumbbell
484,Smith Machine Good Morning,Back,Strength Machine
485,90/90 Hamstring Stretch,Upper Legs,Body Weight
486,Dumbbell One-Arm Preacher Hammer Curl,Biceps,Strength Machine
487,Frog Sit-Up,Abs,Body Weight
488,Dumbbell Seated Wrist Curl (Palms Down),Forearms,Dumbbell
489,Dumbbell Bent-Over Row (Palms in),Back,Dumbbell
490,Dumbbell Bent-Over Tricep Extension,Triceps,Dumbbell
491,Cable Bent-Over Lateral Pulley,Shoulders,Strength Machine
492,Handstand Push-Up,Shoulders,Body Weight
493,World's Greatest Stretch,Upper Legs,Body Weight
494,Barbell Lateral Lunge,Glutes,Barbell
495,Cable Tricep Kickback,Triceps,Strength Machine
496,Machine Unilateral Row,Back,Strength Machine
497,Barbell One-Arm Row,Back,Barbell
498,Kettlebell Pistol Squat,Upper Legs,Kettlebell
499,Single-Leg Bench Dip,Triceps,Bench
500,Machine Landmine Row (Reverse Grip),Back,Strength Machine
501,Weight Plate High Front Raise,Shoulders,Weight Plate
502,Pilates,Cardio,Body Weight
503,Dumbbell Front Incline Raise,Shoulders,Dumbbell
504,Stability Ball Pull-In,Abs,Exercise Ball
505,Cable Rope Pullover (Supine),Chest,Strength Machine
506,Bent Knee Hip Raise,Abs,Body Weight
507,Pendlay Row,Back,Barbell
508,Kettlebell Thruster,Shoulders,Kettlebell
509,Split Jump,Upper Legs,Body Weight
510,Decline Bench Ab Reach,Abs,Bench
511,Dumbbell Decline Tricep Extension,Triceps,Dumbbell
512,Dumbbell Deltoid Raise,Shoulders,Dumbbell
513,Knees to Chest Hug,Back,Body Weight
514,Barbell Incline Bench Press (Close Grip),Triceps,Barbell
515,Push-Up to Side Plank,Chest,Body Weight
516,Stability Ball Hamstring Curl to Bridge,Glutes,Exercise Ball
517,Bench Leg Pull-In,Abs,Bench
518,Cable Reverse Wood Chop,Abs,Strength Machine
519,Seated Bench Leg Pull-In,Abs,Bench
520,Cable V-Bar Row,Back,Strength Machine
521,Dumbbell One-Arm Zottman Preacher Curl,Biceps,Dumbbell
522,Dumbbell High Curl,Biceps,Dumbbell
523,Split Squat,Upper Legs,Body Weight
524,Iron Cross Stretch,Glutes,Body Weight
525,Cable Rope Row to Neck,Shoulders,Strength Machine
526,Dumbbell Alternating Kickback,Triceps,Dumbbell
